,Sr No,Image File,Caption
31,36,img/insta36,my first number 1 this song is so dear to my heart ive been working so hard to make this album as honest and fun as possible while remaining vulnerable enough to share where i am in life i love you deeply and thank you so much for listening i want to thank each and every person that was apart of this moment that ill never forget 
32,37,img/insta37,i miss when was a bear 
33,38,img/insta38,family photos 
34,39,img/insta39,honestly my mom really killed it on my costumes growing up happy halloween  🎃  🕸  🖤  
35,40,img/insta40,georgia toronto texas met in ny for a quick night  😋  
36,41,img/insta41,getting to celebrate this chapter with my friends means so much to me  🥰  
37,42,img/insta42,some of my favorite moments on set  
38,43,img/insta43,i went to interscope today to thank everyone for all they do for me they surprised me with a few plaques from the last few years but my favorite part of today was showing a few fans my music and the video im so grateful for the love and support ive had through out the years love you 
39,44,img/insta44,made her more of a woman 
40,45,img/insta45,you promised the world 
41,46,img/insta46,i needed to lose you to love me 1023 link in bio 
42,47,img/insta47,i gave my all and they all know it 
43,48,img/insta48,rose colored glasses all distorted 
44,49,img/insta49,we always go into it blindly 
45,50,img/insta50,me all the time 
46,51,img/insta51,happy birthday to my sweet angel beyond proud of the man youve become 21 
47,52,img/insta52,such an honor to share this project with some of my family and friends last night and to introduce them to the amazing courageous people who shared their stories in the documentary grateful to play a part in getting this out into the world  
48,53,img/insta53,my dream come true my friends surprised me on my birthday with a taping of shark tank and it finally happened thank you so much for all being so kind funny and genuine  🦈  
49,54,img/insta54,my boston photo diary  💜  🌈  thank you for being so warm and welcoming to me while i was there i had the best time meeting so many of you 
50,55,img/insta55,so humbled to have been part of the incredible mclean hospitals annual dinner and was honored to be able to share a bit of my story thank you dr rauch for inviting me and spending time speaking with me about mental health and thank you to all the amazing staff at mclean and a huge thank you to david o russell for connecting me with these amazing humans these are the moments where i am so grateful for the platform god has given me  
51,56,img/insta56,apparently my heart was very conflicted between juan and cole sprouse when i was 11 
52,57,img/insta57,after a whole summer of being roommates anna fox and freddy have gone home and im missing them already i get to live life with the best people im pretty freaking lucky 
53,58,img/insta58,wednesdays a huge bright blue comfy and winnie  
54,59,img/insta59,all kinds of magic  🌈  thank you for your heart your insane humor and your words we laughed cried and danced  💕  
55,60,img/insta60,siri play i wanna be your lover 
56,61,img/insta61,lqdcell shatter  👟  👟  by  
57,62,img/insta62,sometimes i cant express how truly grateful i am now back to work 
58,63,img/insta63,me italy trying desperately to look like a fellini film 
59,64,img/insta64,well im 27 now i wanted to thank each and every one of you for your words on my bday not just the quick notes the thought that goes behind every word you write usually ends up with me crying grateful tears like i did last night praying for all of you i love you 
60,65,img/insta65,kids in cages sleeping on concrete floors with aluminum blankets no access to simple dignities how is this still happening its absolutely inhumane to treat anyone like this let alone children i cant even imagine what they are going through we need to get this to finally stop dont stay silent on this human rights issue please call your reps 2022243121 
61,66,img/insta66,living in my cali bolds for summer 
62,67,img/insta67,when olivia is a star and paul wears your face on a shirt by the way if you havent seen olivias movie booksmart i dont understand you 
63,68,img/insta68,all combo biker jacket and butterfly parker bag 
64,69,img/insta69,to see what is happening right now in alabama georgia mississippi and several other states in our country is not only deeply upsetting but seems that it cant possibly be real in 2019 its no ones business what a woman chooses to do with her body end of story if you want to help fight this click on the link in my bio to find out how you can volunteer or make a donation 
65,70,img/insta70,my first time in cannes im so honored to have been a part of this movie with jim and the whole cast by the way bill murray and i are getting married 
66,71,img/insta71,been working hard on a new collection with my fam launches today  
67,72,img/insta72,hi cannesyoure very pretty 
68,73,img/insta73,i owe my life to you momma 
69,74,img/insta74,studio diva 
70,76,img/insta76,yesterday at the empowerment in entertainment event i had the honor to meet some of the brightest students who might never have imagined a career in hollywood as they were given the opportunity to go to college and work with mentors in the industry thank you to the most courageous brave intellectual strong beautiful spirit that is oprah for caring so much about empowering all walks of life but more importantly for being the action and not just standing behind the word you do it thank you for continually inspiring us to be kinder greater and stretching all the boundaries for the better from everyone to whom much has been given much will be required 
71,77,img/insta77,i met theresa 5 years ago we worked together and became best friends she has taught me how to see life in a fun carefree and uplifting way she has shown me how to be a strong and fearless woman she is beautiful kind and smart i saw how capable she was of achieving her dreams i wanted nothing more than to see her pursue them and soar and here you are making it happen t i love you and i am so proud of you 
72,78,img/insta78,coachella for the night with t 
73,80,img/insta80,loving my new dreamer bag 
74,81,img/insta81,throw b 
75,82,img/insta82,new season new parker same fam 
76,83,img/insta83,i cant get enough video is out now cant believe we pulled it off in one take even if i did fall once or twice trying 
77,85,img/insta85,i cant get enough is out now link in bio 
78,86,img/insta86,back on set with always in my cali 
79,87,img/insta87,my best friend is getting married so we celebrated her future mrs lopez 
80,88,img/insta88,my sweet soul sister julia you have been a huge part of my life you have taught me how to have courage when i have self doubt this song is extremely close to my heart as ive experienced anxiety and know a lot of my friends do too youre never alone if you feel this way the message is much needed and i really hope you guys like it 
81,89,img/insta89,lots to look forward to in 2019 i cant wait to share the projects ive been working on with you the first one is here cali  👟  by 
82,90,img/insta90,its been awhile since you have heard from me but i wanted to wish everyone a happy new year and to thank you for your love and support last year was definitely a year of selfreflection challenges and growth its always those challenges which show you who you are and what you are capable of overcoming trust me its not easy but i am proud of the person i am becoming and look forward to the year ahead love you all 
83,91,img/insta91,mood laughing out loud i was looking at myself in the mirror like an idiot update taking a social media break again as much as i am grateful for the voice that social media gives each of us i am equally grateful to be able to step back and live my life present to the moment i have been given kindness and encouragement only for a bit just remember negative comments can hurt anybodys feelings obvi 
84,94,img/insta94,is my real life barbie she makes all my stuff look cooler  💕 sweater and rocking cute 
85,95,img/insta95,alright speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me the older i get the more i want my voice to be mine this is all apart of my work within an industry thats been around longer than all of us have been the purpose of my interview was three fold my work with a21 my new collection with coach and some new music as im aware there will always be interests in ones personal life because thats the pace of our social generation im grateful for my position and i will always find ways to make my job more about others and giving back all while having the best time with my music fashion film and my love for learning about the world that im eager to tap into more and more church is a name for something far more personal theres always agenda seeking information on such a subject and i understand why rarely do i mention church and i didnt but ill always feel comfortable talking about my values and beliefs i respect that from everyone and anyone i understand that reporters are working to grab the attention of a reader however i will always work to ensure that what is public represents my truth im a bit bummed but rarely surprised yall know me and my heart i cant help it so ill post some of my photos from the collection and work with a21 my heart and maybe edit my actual lyrics as you will all hear it soon  😊  i love you guys to the moon and back for more information on the work i do with a21 please please visit link in my bio so much more on that soon 
86,96,img/insta96,alright speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me the older i get the more i want my voice to be mine this is all apart of my work within an industry thats been around longer than all of us have been the purpose of my interview was three fold my work with a21 my new collection with coach and some new music as im aware there will always be interests in ones personal life because thats the pace of our social generation im grateful for my position and i will always find ways to make my job more about others and giving back all while having the best time with my music fashion film and my love for learning about the world that im eager to tap into more and more church is a name for something far more personal theres always agenda seeking information on such a subject and i understand why rarely do i mention church and i didnt but ill always feel comfortable talking about my values and beliefs i respect that from everyone and anyone i understand that reporters are working to grab the attention of a reader however i will always work to ensure that what is public represents my truth im a bit bummed but rarely surprised yall know me and my heart i cant help it so ill post some of my photos from the collection and work with a21 my heart and maybe edit my actual lyrics as you will all hear it soon  😊  i love you guys to the moon and back for more information on the work i do with a21 please please visit link in my bio so much more on that soon 
87,97,img/insta97,alright speaking from my heart for over an hour to someone who puts those thoughts into paid words can be hard for me the older i get the more i want my voice to be mine this is all apart of my work within an industry thats been around longer than all of us have been the purpose of my interview was three fold my work with a21 my new collection with coach and some new music as im aware there will always be interests in ones personal life because thats the pace of our social generation im grateful for my position and i will always find ways to make my job more about others and giving back all while having the best time with my music fashion film and my love for learning about the world that im eager to tap into more and more church is a name for something far more personal theres always agenda seeking information on such a subject and i understand why rarely do i mention church and i didnt  but ill always feel comfortable talking about my values and beliefs i respect that from everyone and anyone i understand that reporters are working to grab the attention of a reader however i will always work to ensure that what is public represents my truth im a bit bummed but rarely surprised yall know me and my heart i cant help it so ill post some of my photos from the collection and work with a21 my heart and maybe edit my actual lyrics as you will all hear it soon  😊  i love you guys to the moon and back for more information on the work i do with a21 please please visit link in my bio so much more on that soon 
88,98,img/insta98,today was so fun 
89,99,img/insta99,a few of my favorite things in the entire world update i had something ive thought about for a while that i want to share this page is my highlights and a few low lights i post what i am willing to share with you guys i hear people say all the time that they wish they had someone elses life based on a few pictures we all do it but this is me sharing some happy moments with you guys trust me my life isnt always this filtered and flowery we are all on our own journey  🌻  
90,100,img/insta100,and lastly my actual you are an incredible woman the way you handle lifes most confusing moments is indescribable and graceful you are moved by the littlest stories to the most heartbreaking ones you will give someone your perfume if they say you smell nice you are freaking hilarious and always stand firm in your faith a loving sister an amazing friend and a beautiful daughter you are the definition of fearfully and wonderfully made baby 
91,101,img/insta101,best friend turned 26 part 2 because these women have stayed by my side for 7 years 12 years 4 because you are my 4 for the rest of my life i love you ladies you all inspire me to be better stronger closer to god and we have lived the most insane story together already cant wait for 50 more ps had an actual panic attack  🙄  its a dot  🤦  🏽  
92,102,img/insta102,my best friend turned 26 part one 
93,104,img/insta104,trying out my new selena bags with my friends we went jumping on trampolines love yall not perfect always me 
94,105,img/insta105,so excited to be a part of the we day inspiration once again  💙  watch on abc august 17 at 87c  you wont want to miss nellies story 
95,106,img/insta106,hey fam its almost here first look at my new campaign my exclusive clothing collection drops in a couple weeks 
96,107,img/insta107,randoms and film 
97,109,img/insta109,another year down thank you for all the bday love i couldnt be more appreciative of you and my best friends for celebrating with me i love you guys like crazy god bless 
98,111,img/insta111,so excited for everyone to finally see the latest chapter of  its out now so much fun getting the fam back together 
99,113,img/insta113,striking a pose in the new defy mid 
100,114,img/insta114,hope everyone had a great 4th of july spent mine with some of my favorite people  
101,121,img/insta121,introducing defy my latest campaign with 
102,122,img/insta122,im grateful for those i surround myself with and this woman right here happens to be one of my favorites love our tradition and i love you 
103,123,img/insta123,youre stuck in my head and i cant get you out of it 
104,124,img/insta124,i wanna hold you when im not supposed to 
105,125,img/insta125,out may 10th part of the s2 soundtrack im so excited for you guys to hear it 
106,126,img/insta126,always need a subtle change germany family time  😊  grateful for the welcome 
107,127,img/insta127,decided to come to germany to meet my family and thank them and thank you for my first shoe collab being sold out  😊  also for every shoe you bought you gave to the lupus alliance foundation a donation 
108,128,img/insta128,a while back i had the honor of being apart of the global citizen concert by having these amazing young men sing my song kill em with kindness in an epically beautiful way my heart was legit exploding to see them today 
109,129,img/insta129,my sixth year doing this incredible show they have such a force of young people that are doing so much for their communities and the world this is nellie shes fearless and is wanting to spread awareness about kidney diseases 
110,131,img/insta131,photo wall opportunity with the parker bag 
111,133,img/insta133,i dont want this to just be an instagram post anymore please enough these people families and children have suffered enough today we march for our lives im going to continue to trust god with the future and also play my part in bringing change 
112,134,img/insta134,i dont want this to just be an instagram post anymore please enough these people families and children have suffered enough today we march for our lives im going to continue to trust god with the future and also play my part in bringing change 
113,135,img/insta135,i dont want this to just be an instagram post anymore please enough these people families and children have suffered enough today we march for our lives im going to continue to trust god with the future and also play my part in bringing change 
114,136,img/insta136,jo jo youre insane thank you from the bottom of my heart i walked into my home to this 
115,137,img/insta137,protect kids not guns 
116,138,img/insta138,fam my second collection for is going to include clothes so grateful i got to work on this with cant wait to show you this fall 
117,140,img/insta140,thank you and and so grateful to for the interview link in bio wearing by and also thanks to my team  😍  
118,142,img/insta142,the home i grew up in from birth to 13 no one was home when i knocked this time laughing out loud i visit this place every chance i get in many ways it very well could have been better than my life today but im grateful for a voice that can enable change today even when i dont know how to do it well or actually want it i love you grand prairie thank you  
119,143,img/insta143,a new years first just for you guys im so excited to reveal my new campaign 
120,144,img/insta144,its time to shift the balance in the workplace from representing the few to representing us all 
121,145,img/insta145,and to this gorgeous kind hearted lady you endured this character with such strength and softness i am so proud you are being acknowledged for doing just that golden globe nominee ladies are shining 
122,146,img/insta146,and this year wraps up with another committed journey with season 2 is coming to every person on this project thank you for coming back good or bad we are committed to having the tough conversations to telling the story that can start change 
123,147,img/insta147,currently until the next year heres where ill be 
124,148,img/insta148,thank you beyond for your acknowledgment and honor but honestly thank you more for the event you held for women that night was so inspiring and every woman spoke eloquently and with such force ill try to continue to give my best to even remotely live up to a title in the mean time i hope we all continue to give our best when the world wants to give us the worst we arent stopping the fight 
125,149,img/insta149,thank you for being apart of this phase cant wait for the next 
126,150,img/insta150,all apologies 
127,151,img/insta151,i stole from my sister 
128,152,img/insta152,guys im so excited to share my first campaign for the new phenom 
129,155,img/insta155,so i am blonde now 
130,156,img/insta156,looked for love in every stranger 
131,158,img/insta158,american music awards 
132,159,img/insta159,sunday amas 
133,161,img/insta161,wolves  🌑  
134,162,img/insta162,been crying with the wolves to get to you 
135,163,img/insta163,blindly i am following break down these walls and come on in 
136,164,img/insta164,wolves video out now on apple thank you to my bay area fam 
137,165,img/insta165,wolves is out now  🐺  🐺  
138,166,img/insta166,wolves is out now  🐺  🐺  
139,170,img/insta170,ive been running through the jungle ive been crying with the wolves 1025 
140,172,img/insta172,coming 1025 wolves x 
141,173,img/insta173,momma and i 
142,174,img/insta174,join all of us right now and on we are one 
143,175,img/insta175,officially a part of the fam 
144,176,img/insta176,im very aware some of my fans had noticed i was laying low for part of the summer and questioning why i wasnt promoting my new music which i was extremely proud of so i found out i needed to get a kidney transplant due to my lupus and was recovering it was what i needed to do for my overall health i honestly look forward to sharing with you soon my journey through these past several months as i have always wanted to do with you until then i want to publicly thank my family and incredible team of doctors for everything they have done for me prior to and postsurgery and finally there arent words to describe how i can possibly thank my beautiful friend francia raisa she gave me the ultimate gift and sacrifice by donating her kidney to me i am incredibly blessed i love you so much sis lupus continues to be very misunderstood but progress is being made for more information regarding lupus please go to the lupus research alliance website wwwlupusresearchorg by grace through faith 
145,178,img/insta178,sometimes its incredibly difficult to wake up every day knowing there is so much going on in the world at times i feel selfish i ask why i ask how can this change will it actually ever change i try to contribute my heart before anything because it can be so easy to lose the desire to have hope when sometimes all i want to be is angry when i read about the beautiful women who wake up consciously every day to make a change it inspires me to want to do so much more not really sure how i got so lucky but thank you for highlighting the power of what we can and will always strive to be i believe in the goodness in the land of the living i hope this is just the beginning of more change 
146,179,img/insta179,thank you for letting me be apart of the 5th annual print edition very grateful 
147,183,img/insta183,its been so much fun working with and on designing my very own bag the selena grace come see it and meet me at coach house new york on sept 13 
148,184,img/insta184,also so stoked i got to show you a sneak peak at my bag i designed 
149,186,img/insta186,ahhh 💕 thank you instyle wearing dress for the september cover photograph by story by hair for makeup fashion editor manicure basically the entire squad 
150,187,img/insta187,fetish video directed by and ft coming wednesday 
151,188,img/insta188,fetish video directed by and ft coming wednesday 
152,189,img/insta189,my people 
153,190,img/insta190,my petra  💕  
154,191,img/insta191,thank you for all of my bday love i couldnt be more blessed a lot of you dont realize how much you mean to me i love you think 25 is going to be epic xo 
155,192,img/insta192,im not surprised i sympathize 
156,193,img/insta193,im not surprised i sympathize 
157,194,img/insta194,fetish thursday 
158,195,img/insta195,fetish thursday 
159,196,img/insta196,july 13 
160,197,img/insta197,july 13 
161,198,img/insta198,july 13 
162,204,img/insta204,fall 2017 campaign thank you 
163,207,img/insta207, 🌈  thanks for watching the music video 
164,208,img/insta208,bad liar video  🌈  
165,209,img/insta209,bad liar with the all time brilliant jesse peretz 
166,210,img/insta210,bad liar music video is out by the way  😏  
167,211,img/insta211, a film 
168,212,img/insta212,coming soon 
169,215,img/insta215,my heart will forever and always be with people theres never enough i could do to thank you but more importantly show you that you matter and are beyond watched over 
170,218,img/insta218,whats to come is never what they expect  💕  thank you for inspiring me to be me 
171,221,img/insta221,date night 
172,232,img/insta232,as the new face of they gave me the opportunity to personalize this bag for my momma that im pretty sure my sister is going to steal anyhow this is a very common exchange between the two of us happy early mothers day to the woman who is the reason for my existence 
173,235,img/insta235,so proud and grateful to and for tonight thank you so much anna for a beautiful event and for what you do 
174,236,img/insta236,because it should be fun and truly authentic my crew  💕  
175,237,img/insta237,5th time being apart of the 2nd time hosting this amazing event they have inspired and provided a platform to help kids and families be the movement they prove that you can do anything you set your mind to no matter what age 
176,239,img/insta239,very much in my feelings about my big brother getting married even though we for sure knew it would be him first may god bless you and your beautiful wife henrie  💕  
177,241,img/insta241,always playing and working on something magical  💕  
178,242,img/insta242,wish the rest of the crew was with us today overwhelmed with the response and love is receiving thank you to each beautiful person who has watched and talked about the message of our show 
179,243,img/insta243,our show came out tonight and i couldnt be more overwhelmed with pride and joy after 7 years of holding onto this book i couldnt of picked a better time for this message to exist jay asher wrote a beautifully tragic compelling story and we were lucky to have brought it to life thank you to every single soul that put their heart into this passion project 
180,245,img/insta245,is celebrating world kindness day and i got to spend it with people who fully will change our world one day introduced me to which is an after school organization that encourages girls to believe that they have the capability to do anything they set their mind to its crazy to me how much they are willing put others before themselves 
181,247,img/insta247,wearing for  
182,248,img/insta248,i want to thank rob haskell for writing my story i was a little nervous at how honest i was but you depicted where im at perfectly im so grateful  
183,249,img/insta249,ok freaking out a little thrilled to share my first american cover with you read the story and see the full spread in the link in my bio photographed by and 
184,253,img/insta253,today i watched a sermon from one of my favorites i dont really understand myself for i want to do what is right but i dont do it instead i do what i hate romans 715 
185,255,img/insta255,thank you fam for 110 i promise i will continue to cherish my platform and speaking truth but more importantly each and every one of you have changed my life im very grateful 
186,256,img/insta256,proud of my trainers husband cause hes goals for real 
187,260,img/insta260,i have a full crush on 
188,262,img/insta262,morning walks 
189,263,img/insta263,what 13 reasons why has represented was an authentic story of what every kid deals with in every day life the pressure the unrealistic expectations of what they believe they should be whether you have read this book or not its a story of what every kid does and will continue to go through  unless we keep talking about it people are hurting and deserve to be heard tired of others portraying a false idea of what every day life is i hope can enlighten people to what words mean when you say them 
190,264,img/insta264,after 6 years waiting to find the perfect hannah and clay for i couldnt be luckier we cast these two  💜  
191,266,img/insta266,helping the guys get ready for the grammys i said anything gosling would wear please 
192,267,img/insta267,my boy  😍  
193,270,img/insta270,my momma i sit back and think about how much she has done and shown me it truly has blown me away she teaches me most about life and i couldnt be luckier to have a partner like her in life 
194,272,img/insta272,my world  😍  
195,273,img/insta273,i love you 
196,275,img/insta275,this was the day i was nervous as hell going into for the first time to talk about my mom found this book in 2009 and worked her ass off to make it with me guide me and tell this story authentically the only reason beside jay this project was even made 
197,277,img/insta277,vente pa ca 
198,278,img/insta278,being able to create is my favorite thing in the whole world im so excited to be a part of the vision and family and i get the honor to design with ahhhhhh 
199,279,img/insta279,i have a lot to be thankful for this year my year has been the hardest yet most rewarding one yet ive finally fought the fight of not being enough i have only wanted to reflect the love you guys have given me for years and show how important it is to take care of you by grace through faith kindness always wins i love you guys god bless 
200,281,img/insta281,one of my favorite nights on tour 
201,282,img/insta282,my entire heart 
202,283,img/insta283,my whole life you matter most thank you for letting me do what i love every day 
203,284,img/insta284,my love and i 
204,285,img/insta285,nobody loves me like you do  🙏  🏽  
205,286,img/insta286, 💜  in 
206,287,img/insta287,my first cover came out thank you so much so grateful 
207,289,img/insta289,my sweet hilarious and crazy soul my life completely changed when i met you thank you for putting up with me youre for life i love you more than you hate affection happy bday 
208,290,img/insta290,my girlies  💘  too many stories 
209,291,img/insta291,the boys  💘  
210,296,img/insta296,kl from the car 
211,297,img/insta297,beautiful people  😍  
212,301,img/insta301,when your lyrics are on the bottle  😛  
213,302,img/insta302,after two weeks on the studio bus safe to say this next album is  👅  💋   its just starting tho 
214,303,img/insta303,a few of my favs from our fam  
215,305,img/insta305,the one thing that gets me going before anything sheldon cooper big bang theory 
216,307,img/insta307,my godson watching his tia on stage happy fathers day 
217,309,img/insta309,happy to finally share my first campaign thank you and love you  📸  
218,310,img/insta310,atlanta ga 
219,312,img/insta312,couldnt go out tonight but i got love for you washington dc  😘  
220,315,img/insta315,brooklyn babies sorry i couldnt get everyone in  😘  
221,316,img/insta316,arena vibes 
222,317,img/insta317,when i see my new costumes for stage comin sooooon  😍  
223,318,img/insta318,boston you guys were loud  😍  
224,320,img/insta320,my cover for with  exciting things coming with this brilliant man shot by the amazing 
225,321,img/insta321,london ontario  💜  
226,322,img/insta322,ottawa canada sick sick sick night  🙌  🏽  love you guys 
227,323,img/insta323,due to safety i couldnt go outside tonight in winnipeg that did not stop me from gettin my pic tho  💘  
228,324,img/insta324,my littles saskatoon lovin 
229,326,img/insta326,restock the bus grocery shopping in saskatoon 
230,327,img/insta327,calgary canada  also meeting you guys after my shows has been such a highlight but because your safety is priority and most important if we cant keep them contained ill have to stop ill do it for as long as i can but you matter most love you guys cant wait to see you saskatoon 
231,329,img/insta329,walks through calgary 
232,330,img/insta330,got you edmonton canada 
233,331,img/insta331,tonight  💥  
234,332,img/insta332,vancouver canada was lit 
235,333,img/insta333,seattle wa 
236,334,img/insta334,when you meet the boss and talk tech in a very unusual office 
237,335,img/insta335,san jose ca 
238,337,img/insta337,sacramento ca 
239,339,img/insta339,after my first show in vegas  
240,340,img/insta340,my cover for thank you to everyone involved 
241,341,img/insta341,just like the last tour nothings changed fresno ca 
242,342,img/insta342,night 2  💙  
243,344,img/insta344,first showtomorrow 
244,346,img/insta346,when the crew come together for and 
245,347,img/insta347,after we finish a show and dont mess it up 
246,348,img/insta348,behind the scenes of tour content 
247,349,img/insta349,tour rehearsals 
248,350,img/insta350,also all of my tattoos will be available each and every one of them mean so much to me i have 7 tattoos and counting 
249,352,img/insta352,this month thank you for the rad article zach 
250,354,img/insta354,74  🙏  🏽  
251,355,img/insta355,the absolute best in the game honestly knowing this man for two years learning and growing thank you  🙏  🏽  
252,356,img/insta356,i am proud to be apart of what you do to inspire the world we are the next generation by grace through faith all i know is you can change the world  🎞  
253,357,img/insta357,coming soon  revival tour 16 
254,358,img/insta358,love you 
255,359,img/insta359,thank you you guys though thank you for voting you matter most 
256,361,img/insta361,also last thing getting ready for tour and the kick off is in vegas this is whats happening after come 
257,367,img/insta367,first time i ever lead worship i got to perform my first worship song i ever wrote so grateful for his grace and understanding 
258,368,img/insta368,tb to a sweet small house in tx 
259,369,img/insta369,we have waited our whole lives for this  😝  
260,370,img/insta370,papa  💙  
261,371,img/insta371,this wishing i was with and right now 
262,372,img/insta372,words cant describe how much i love this one right here 🏼  
263,373,img/insta373,black and white makes life look sick had the best couple of days paris i snap chatted way too much while i was here snap selenagomez 
264,374,img/insta374,its that time again i love my family  💙  
265,375,img/insta375,its fun to look cool sometimes 
266,377,img/insta377,we made it paris 
267,378,img/insta378,prepping for 
268,379,img/insta379,thank you for the purty pic and for always taking care of me love you so i legit ripped my dress right after this shot i blame in n out 
269,381,img/insta381, 📸  for today 
270,382,img/insta382,this is what was shining most so proud of you tay  🔥  
271,383,img/insta383,last night was fun 
272,384,img/insta384,a little tb and a happy birthday to one of the kindest people i know and someone who has inspired me for years 
273,385,img/insta385,throwback swag 
274,386,img/insta386,rp facts 
275,388,img/insta388,thank you and for spending the day with me and eating chilis 
276,389,img/insta389,finally got to see our movie tonight at sundance so proud to have the closing film cant wait for you guys to see it soooon 
277,390,img/insta390,thank you for a childhood dream come true  did you guys see it  😳  🙈  💜  ah 
278,391,img/insta391,when they play your song at the club 
279,392,img/insta392,your embrace is everything to me hi just love you guys 
280,393,img/insta393,are we in the clear yet 
281,394,img/insta394,love them 
282,395,img/insta395,happy bday orly celebrate kindness and who you are 
283,396,img/insta396,so happy and are partnering with ive been an ambassador since i was 17 met nicolas last year so grateful for the worlds to collide for a great cause 
284,398,img/insta398,just discussing 
285,399,img/insta399,mood for all 60 million of you  🙈  insane thank you for living life with me 
286,400,img/insta400,nothing makes my heart happier my boys for life 
287,401,img/insta401, home literally nothing better than this sorry but not sorry la 
288,402,img/insta402,that one time we went to jail 
289,403,img/insta403,ready for you 
290,404,img/insta404,happy birthday to my number one cousinssisterstherapists i love you 
291,405,img/insta405,left my phone behind to be present i am so grateful for the people ive met this year but more importantly for the people who have been consistent and by my side through thick and thin thatd be you thank you for another year love you guys 
292,407,img/insta407,i promise i have the biggest family but my pride and joy lives with this one right here 
293,411,img/insta411,my godson  😍  
294,412,img/insta412,comin soon hehe 
295,413,img/insta413,thanks and to all my for 3 amazing years ive had the best time guest designing my own clothing line for you ill be following for more exciting things coming up in 2016 make sure you do too 
296,414,img/insta414,my baby did me up tonight  😚  
297,415,img/insta415,i dont know life without you taylor happy birthday 
298,417,img/insta417,this means we had good lighting right ladies  😂  
299,418,img/insta418,my babe and i performing tonight for so grateful to wrap up this year with the best people thank you ny 
300,419,img/insta419,paul came to give me my award for women in music 
301,420,img/insta420,philly love best ever 
302,421,img/insta421,what my day looked like 
303,422,img/insta422,wait on the low though this was backstage why do you think i covered my stomach during the show  😂  😭  watch on cbs 
304,424,img/insta424,show is happening wish i was with all my angels right now 
305,426,img/insta426,the time is almost here fashion show december 8th on cbs hope you guys are having a great daynight  💜  
306,427,img/insta427,after the show is the after party thank you for my stocking  
307,428,img/insta428,jingle ball in oakland man im getting pumped for tour thank you 
308,432,img/insta432,thank you and  
309,434,img/insta434,we just show up thank you for making us and all beautiful women feel beautiful 
310,436,img/insta436,my heart 
311,437,img/insta437,ok no more  🙈  
312,439,img/insta439,this show was a dream to be on thank you so much and all the angels for being so nice warm and fun and looking at you guys all day wasnt hard to do at all  😏  abel killed it as usual and ellie was shining brighter than ever cant wait for you guys to see it on december 8th k im done what is life love you 💋  
313,440,img/insta440,thank you for my custom dress tonight felt like a true vs angel  😇  💜  also shout out to the dream team and 
