Sr No,Image File,Caption
97,170,img/insta170,ive been running through the jungle ive been crying with the wolves 1025
98,172,img/insta172,coming 1025 wolves x
99,173,img/insta173,momma and i
100,174,img/insta174,join all of us right now and on we are one
101,175,img/insta175,officially a part of the fam
102,179,img/insta179,thank you for letting me be apart of the 5th annual print edition very grateful
103,184,img/insta184,also so stoked i got to show you a sneak peak at my bag i designed
104,186,img/insta186,ahhh 💕 thank you instyle wearing dress for the september cover photograph by story by hair for makeup fashion editor manicure basically the entire squad
105,187,img/insta187,fetish video directed by and ft coming wednesday
106,188,img/insta188,fetish video directed by and ft coming wednesday
107,189,img/insta189,my people
108,190,img/insta190,my petra  💕 
109,192,img/insta192,im not surprised i sympathize
110,193,img/insta193,im not surprised i sympathize
111,194,img/insta194,fetish thursday
112,195,img/insta195,fetish thursday
113,204,img/insta204,fall 2017 campaign thank you
114,207,img/insta207, 🌈  thanks for watching the music video
115,208,img/insta208,bad liar video  🌈 
116,209,img/insta209,bad liar with the all time brilliant jesse peretz
117,210,img/insta210,bad liar music video is out by the way  😏 
118,212,img/insta212,coming soon
119,218,img/insta218,whats to come is never what they expect  💕  thank you for inspiring me to be me
120,221,img/insta221,date night
121,235,img/insta235,so proud and grateful to and for tonight thank you so much anna for a beautiful event and for what you do
122,236,img/insta236,because it should be fun and truly authentic my crew  💕 
123,241,img/insta241,always playing and working on something magical  💕 
124,247,img/insta247,wearing for 
125,256,img/insta256,proud of my trainers husband cause hes goals for real
126,260,img/insta260,i have a full crush on
127,262,img/insta262,morning walks
128,264,img/insta264,after 6 years waiting to find the perfect hannah and clay for i couldnt be luckier we cast these two  💜 
129,266,img/insta266,helping the guys get ready for the grammys i said anything gosling would wear please
130,267,img/insta267,my boy  😍 
131,272,img/insta272,my world  😍 
132,277,img/insta277,vente pa ca
133,281,img/insta281,one of my favorite nights on tour
134,282,img/insta282,my entire heart
135,283,img/insta283,my whole life you matter most thank you for letting me do what i love every day
136,285,img/insta285,nobody loves me like you do  🙏  🏽 
137,286,img/insta286, 💜  in
138,287,img/insta287,my first cover came out thank you so much so grateful
139,290,img/insta290,my girlies  💘  too many stories
140,291,img/insta291,the boys  💘 
141,296,img/insta296,kl from the car
142,297,img/insta297,beautiful people  😍 
143,301,img/insta301,when your lyrics are on the bottle  😛 
144,302,img/insta302,after two weeks on the studio bus safe to say this next album is  👅  💋   its just starting tho
145,303,img/insta303,a few of my favs from our fam 
146,305,img/insta305,the one thing that gets me going before anything sheldon cooper big bang theory
147,307,img/insta307,my godson watching his tia on stage happy fathers day
148,309,img/insta309,happy to finally share my first campaign thank you and love you  📸 
149,310,img/insta310,atlanta ga
150,312,img/insta312,couldnt go out tonight but i got love for you washington dc  😘 
151,315,img/insta315,brooklyn babies sorry i couldnt get everyone in  😘 
152,316,img/insta316,arena vibes
153,317,img/insta317,when i see my new costumes for stage comin sooooon  😍 
154,318,img/insta318,boston you guys were loud  😍 
155,320,img/insta320,my cover for with  exciting things coming with this brilliant man shot by the amazing
156,321,img/insta321,london ontario  💜 
157,322,img/insta322,ottawa canada sick sick sick night  🙌  🏽  love you guys
158,323,img/insta323,due to safety i couldnt go outside tonight in winnipeg that did not stop me from gettin my pic tho  💘 
159,324,img/insta324,my littles saskatoon lovin
160,326,img/insta326,restock the bus grocery shopping in saskatoon
161,329,img/insta329,walks through calgary
162,330,img/insta330,got you edmonton canada
163,331,img/insta331,tonight  💥 
164,332,img/insta332,vancouver canada was lit
165,333,img/insta333,seattle wa
166,334,img/insta334,when you meet the boss and talk tech in a very unusual office
167,335,img/insta335,san jose ca
168,337,img/insta337,sacramento ca
169,339,img/insta339,after my first show in vegas 
170,340,img/insta340,my cover for thank you to everyone involved
171,341,img/insta341,just like the last tour nothings changed fresno ca
172,342,img/insta342,night 2  💙 
173,346,img/insta346,when the crew come together for and
174,347,img/insta347,after we finish a show and dont mess it up
175,348,img/insta348,behind the scenes of tour content
176,349,img/insta349,tour rehearsals
177,350,img/insta350,also all of my tattoos will be available each and every one of them mean so much to me i have 7 tattoos and counting
178,352,img/insta352,this month thank you for the rad article zach
179,355,img/insta355,the absolute best in the game honestly knowing this man for two years learning and growing thank you  🙏  🏽 
180,357,img/insta357,coming soon  revival tour 16
181,359,img/insta359,thank you you guys though thank you for voting you matter most
182,361,img/insta361,also last thing getting ready for tour and the kick off is in vegas this is whats happening after come
183,367,img/insta367,first time i ever lead worship i got to perform my first worship song i ever wrote so grateful for his grace and understanding
184,368,img/insta368,tb to a sweet small house in tx
185,369,img/insta369,we have waited our whole lives for this  😝 
186,370,img/insta370,papa  💙 
187,371,img/insta371,this wishing i was with and right now
188,372,img/insta372,words cant describe how much i love this one right here 🏼 
189,373,img/insta373,black and white makes life look sick had the best couple of days paris i snap chatted way too much while i was here snap selenagomez
190,374,img/insta374,its that time again i love my family  💙 
191,375,img/insta375,its fun to look cool sometimes
192,377,img/insta377,we made it paris
193,378,img/insta378,prepping for
194,381,img/insta381, 📸  for today
195,382,img/insta382,this is what was shining most so proud of you tay  🔥 
196,383,img/insta383,last night was fun
197,384,img/insta384,a little tb and a happy birthday to one of the kindest people i know and someone who has inspired me for years
198,385,img/insta385,throwback swag
199,386,img/insta386,rp facts
200,388,img/insta388,thank you and for spending the day with me and eating chilis
201,389,img/insta389,finally got to see our movie tonight at sundance so proud to have the closing film cant wait for you guys to see it soooon
202,390,img/insta390,thank you for a childhood dream come true  did you guys see it  😳  🙈  💜  ah
203,391,img/insta391,when they play your song at the club
204,392,img/insta392,your embrace is everything to me hi just love you guys
205,393,img/insta393,are we in the clear yet
206,395,img/insta395,happy bday orly celebrate kindness and who you are
207,396,img/insta396,so happy and are partnering with ive been an ambassador since i was 17 met nicolas last year so grateful for the worlds to collide for a great cause
208,398,img/insta398,just discussing
209,399,img/insta399,mood for all 60 million of you  🙈  insane thank you for living life with me
210,400,img/insta400,nothing makes my heart happier my boys for life
211,401,img/insta401, home literally nothing better than this sorry but not sorry la
212,402,img/insta402,that one time we went to jail
213,403,img/insta403,ready for you
214,404,img/insta404,happy birthday to my number one cousinssisterstherapists i love you
215,407,img/insta407,i promise i have the biggest family but my pride and joy lives with this one right here
216,411,img/insta411,my godson  😍 
217,412,img/insta412,comin soon hehe
218,414,img/insta414,my baby did me up tonight  😚 
219,415,img/insta415,i dont know life without you taylor happy birthday
220,417,img/insta417,this means we had good lighting right ladies  😂 
221,418,img/insta418,my babe and i performing tonight for so grateful to wrap up this year with the best people thank you ny
222,419,img/insta419,paul came to give me my award for women in music
223,421,img/insta421,what my day looked like
224,422,img/insta422,wait on the low though this was backstage why do you think i covered my stomach during the show  😂  😭  watch on cbs
225,424,img/insta424,show is happening wish i was with all my angels right now
226,426,img/insta426,the time is almost here fashion show december 8th on cbs hope you guys are having a great daynight  💜 
227,427,img/insta427,after the show is the after party thank you for my stocking 
228,428,img/insta428,jingle ball in oakland man im getting pumped for tour thank you
229,432,img/insta432,thank you and 
230,434,img/insta434,we just show up thank you for making us and all beautiful women feel beautiful
231,436,img/insta436,my heart
232,437,img/insta437,ok no more  🙈 
233,440,img/insta440,thank you for my custom dress tonight felt like a true vs angel  😇  💜  also shout out to the dream team and
234,441,img/insta441,50 million  🙈  🙀  💜   i love you guys you make me smile and i love secretly stalking some of your pages
235,445,img/insta445,shes just awesome
236,446,img/insta446,aka dont talk to me unless ive eaten
237,448,img/insta448,one of my favs 
238,449,img/insta449,that was the day we sold our show to  🙈  ill just be freaking out over here congratulations to the whole team
239,452,img/insta452,my godson came to see his tia in la  😭 
240,454,img/insta454,iphone game strong
241,455,img/insta455,shes my bestie but yall know that already
242,456,img/insta456,tickets for the 2016 are onsale today cant wait to see each and everyone of you link in bio xx
243,457,img/insta457,had the best time reading everyones heres a sneak peak of one of my favorites
244,458,img/insta458,getting ready for fallon  😊  jewels
245,460,img/insta460,these two though my unclesbig brothersadvisorsheroesbffs forever and ever so grateful i have the best fans and family that celebrate with me 
246,461,img/insta461,my cover  💙  💜  thank you so so very much
247,462,img/insta462,the roomiebae loves me just for us  😍  im freaking out the album is out revival
248,463,img/insta463,love my revival jacket  🌝   🔌 
249,464,img/insta464,thank you  🌝   revival
250,465,img/insta465,2 days until revival  officially nervousrelieved
251,466,img/insta466,a photo of me the same age as instagram is today happy 5th birthday  💜  thank you for doing what you do x
252,467,img/insta467,6 more days
253,468,img/insta468, 8 days until the album drops
254,469,img/insta469,paris je taime merci beaucoup  😘  cant do any of it without you
255,470,img/insta470,moments where i can safely run away for a bit  😏 
256,471,img/insta471,paris adventures
257,473,img/insta473,per sukis request lets cuddle so hard for our pic love these girls sooo much cara i miss youuu  💙 
258,474,img/insta474,just arrived at the most magical place here is their new  😋  💜 
259,475,img/insta475,another cover with  😩  💚  so crazy im so lucky actually never mind im blessed
260,476,img/insta476,having the best trip europe i just love you  🙈 hur did by face did by
261,477,img/insta477,when the girl band meets the boy band in london town
262,478,img/insta478,its here watch the official video for at httpsmarturlitsameoldlovevid now
263,479,img/insta479,surrounding our fav honestly the sweetest in the game 
264,480,img/insta480,posted  she keeps me sane and we match sometimes  😏 
265,481,img/insta481,the reason revival happened forever
266,482,img/insta482,whos here  😬  im getting way too excited
267,484,img/insta484,heres the first look of my new cover one of my absolute favorite interviews elle you always do me justice love you
268,485,img/insta485,cover and shot by one of my favorites
269,486,img/insta486,me and living playing and working all the time
270,487,img/insta487,moments with the realest thank you
271,488,img/insta488,feeling downtown chic at polos cool garden scene at follow to see more  😂  💙 
272,489,img/insta489,ahhh you guys you can now preorder on and get my new single instantly httpsmarturlitsgrevival
273,491,img/insta491,loved today cant we just show them nowwww  😬 
274,494,img/insta494,adorable cant wait for this movie to come out for all my littles
275,496,img/insta496,my favorites my babies my second family  💙  😍 
276,500,img/insta500,wouldnt have it any other way she won vid of the year so proud of all the ladies thats what its truly about
277,501,img/insta501,ive got the hottest dates
278,502,img/insta502,backstage  📷 
279,505,img/insta505,these kids will blow your mind and they are changing the world so honored to host this amazing event tonight on abc check it out x
280,506,img/insta506,so proud of these girls promise they will do great things plus theyre chill af
281,507,img/insta507,wanna look good for you video ft rocky out now link in bio
282,511,img/insta511,im so happy was born thats all 
283,515,img/insta515,tonight we celebrated you  🎉  💙 
284,516,img/insta516,memory lane
285,518,img/insta518,a few of my favorite things
286,519,img/insta519,its all fun until i move around too much and gets mad at me  😇  😈 
287,521,img/insta521,youngfree my friends hate me but love me too
288,523,img/insta523,surround yourself with wonderfully genuine hearted ladies ladies  💜 
289,524,img/insta524,so happy my fall collection is finally out follow to find out where to get it
290,525,img/insta525,i am the luckiest happiest girl today thank you guys so much for all the bday wishes i love growing up with you  🙈 
291,526,img/insta526,moments with
292,527,img/insta527,your girl is almost 23 
293,528,img/insta528,waiting game strong fam
294,529,img/insta529, 😍  happy sunday
295,530,img/insta530,leading you3  🎶   😇 
296,531,img/insta531,kill em with kindness 1
297,532,img/insta532,how most of my shoots end
298,533,img/insta533,dont ever leave me again welcome home roomie  💓  i love you
299,534,img/insta534,one more
300,535,img/insta535,my new collection probably one of my favorites
301,538,img/insta538,tbt with michelle and for  💙 
302,539,img/insta539,nana and papa  💙  from forcing you to listen to me sing on the fireplace to watching me now youve always been proud of me i love you
303,540,img/insta540,these days are always the best days
304,542,img/insta542,me well everyday
305,543,img/insta543,im so happy to finally share the official video for good for you featuring the initial stripped down version of the song i hope you enjoy it httpvevolyodilch
306,544,img/insta544,good for you music video coming tomorrow youll notice a different version of the song  🌝 
307,546,img/insta546,its here you can finally get ft on httpsmarturlitgoodforyousg
308,547,img/insta547,typical bougie jet pic ny ready for ya tomorrow is a big day
309,548,img/insta548,never do i laugh harder weekend  💜 
310,549,img/insta549,so excited to finally show you guys the art for ft coming 622
311,550,img/insta550,who wants to premiere a sneak peek of my video ive got something special for a few of you
312,551,img/insta551,today  thankful for these guys
313,554,img/insta554, 💜  pic by
314,555,img/insta555,i am so happy to announce my new partnership with pantene
315,556,img/insta556,my cast mates  hotel transylvania 2 
316,557,img/insta557,hotel transylvania 2 press with the crew babies cant wait for you to see this movie so sweet  💜 
317,558,img/insta558,good for you june 22
318,559,img/insta559,good for you june 22 now who would like the first look of my new music video
319,560,img/insta560, 😂  unbothered
320,561,img/insta561,from la mexico back to la this is a magical team  🎶  
321,563,img/insta563,i may post about them too much but its because i love them too much
322,565,img/insta565,coffee coffee me everyday
323,566,img/insta566,today  💙 
324,568,img/insta568,downtown with my ladies  💙 
325,570,img/insta570,in between takes more playing with jake photography by
326,573,img/insta573,behind the scenes
327,574,img/insta574,lets lay in a vineyard all day
328,576,img/insta576,my pride and joy my littlest littles
329,577,img/insta577,my fav sweat shirt  💜 
330,579,img/insta579,mothers day brunch feat papa with my girls and their family cant wait for my mom to get in town next week  💜 
331,581,img/insta581,thank you for having me again
332,582,img/insta582,made my rice tonight from scratch needless to say it was cinco de mayo at my house tonight for sure celebrated the way i grew up
333,583,img/insta583,practicing the future  🔌 
334,584,img/insta584,xo ny
335,585,img/insta585,playful moments glamming premet with
336,586,img/insta586,rp  💙  💙  💙  surrounded by the sweetest most grounded gals 
337,587,img/insta587,vera wang felt like a princess yet again 
338,588,img/insta588,fam  🔌 
339,589,img/insta589,cozy in my sg neo top  😊 
340,590,img/insta590,tinker bell cups 
341,591,img/insta591,soul cycle aftermath i want tacos
342,595,img/insta595,we decided as a family to come to mexico to be inspired thats exactly what happened
343,596,img/insta596,i love being happy with me yall  😂 
344,597,img/insta597,should probably sign to hit cause  🔌 
345,598,img/insta598,kick off the beach vibes with my neo summer collection follow to find out how you could win one look or the entire collection
346,601,img/insta601,make up and photography by
347,602,img/insta602,backyard sessions wit my boo  photo by jake
348,603,img/insta603,took a break from the studio to run and jump in the grass our god is so good
349,607,img/insta607,the happiest
350,609,img/insta609,my pastors are cool  words cant describe how incredible they are so grateful
351,612,img/insta612,on set with amazing incredible people  💜 
352,613,img/insta613,remembering how precious every day is  💙  🙏 
353,614,img/insta614,yesterday was the start of join us in celebrating everyone deserves clean water
354,616,img/insta616,my girls be in the studio like
355,617,img/insta617,my girls
356,618,img/insta618,hated bangs but i have baby hairs   💜 
357,620,img/insta620,my paris family  💙  💙  💙 
358,621,img/insta621,te amo con todo mi corazon 
359,622,img/insta622,thank you again and for another year of your greatness 
360,623,img/insta623,i want you to know video is out now link in bio  💜  💙 
361,624,img/insta624, 📷   💄   🔥  
362,625,img/insta625,shes so fluffy
363,627,img/insta627,another just because they make my heart so happy  💗 
364,628,img/insta628,happy birthday my nugget
365,629,img/insta629,always waiting on someone meaning my friends who take too long to get ready
366,630,img/insta630,i want you to know video coming soon 
367,631,img/insta631,i know i meant lives i dont care about grammar im sorry i had to share every life is worth it
368,633,img/insta633,i want you to know that im all yours  🎶 
369,635,img/insta635,thank you and  💗 
370,636,img/insta636,its our little tradition 
371,637,img/insta637,well thats exciting link in bio  🔥 
372,638,img/insta638,couldnt ask for a sweeter group of ladies 
373,640,img/insta640,reunited with this beauty missed her face  💙 
374,641,img/insta641,yay i can hold it now   💙  💙  💙 
375,643,img/insta643,the reason i love my job
376,644,img/insta644,you said it best james 
377,645,img/insta645,i want you to know
378,646,img/insta646,link in bio 
379,647,img/insta647,its here stay tuned to for moreeee next month and thank you and  💜  💙  💛  💗 
380,648,img/insta648,stay tuned for the cover tomorrow  thank you and and for interviewing me
381,651,img/insta651, storms always have an eye
382,652,img/insta652,what else would i do in atlanta but learn how to make the best pizza ever
383,656,img/insta656,im better under your reflection i want you to know
384,657,img/insta657, 😛  i want you to know
385,658,img/insta658,show me and neo a pic of you shouting out  you could be in video just tag
386,659,img/insta659,missing my fam  💜 
387,660,img/insta660,makes pretty creative babies she made her own skirt out fit with bed sheets
388,661,img/insta661,write now is everything out hashtag it with  you could be in video good luck
389,663,img/insta663,beauties hangin in the cold appreciate and love you  💜 
390,665,img/insta665,when you ask your friends to play with your hair
391,666,img/insta666,on set the bestie came thru
392,667,img/insta667,cartersville georgia we shootin a movie
393,668,img/insta668,work today i love my job
394,669,img/insta669,hi this is the fundamentals of caregiving watch us in a theater soon well let us shoot edit hopefully not reshoot then release it
395,670,img/insta670,a little tbt because my boys called me mad at me the night the fam made dinner for us  💜 
396,671,img/insta671,i promise we are adults
397,672,img/insta672,hint  💜 
398,676,img/insta676,a bestie always makes sure she aint hanging out  😂 
399,677,img/insta677,in the past month i have gotten into 3 legitimate food fights yup
400,678,img/insta678,me too
401,679,img/insta679,missing la and this punk just a little tonight  shooting starts soon eeeeekkkk fundamentals of caregiving
402,681,img/insta681,meet trevor and dot
403,682,img/insta682,swim shower script then studio  have a great day erbody
404,684,img/insta684,monday walks  💜 
405,686,img/insta686,im sorry last one but i just love every single thing about this pic  😂  💜  sums up every event ever in history
406,688,img/insta688,the guys were happy  😂  😒 
407,689,img/insta689,my angel forever
408,692,img/insta692,happiest of birthdays to bubba and such an incredible person love you inside out heres to more  🎉  💜 
409,694,img/insta694,oh happy day making the bestie annoyed
410,698,img/insta698,made my team baskets for the new year  wme  interscope pmk and brillstein
411,699,img/insta699,peregrine falcon
412,700,img/insta700,the luckiest girl in the world so grateful  💜  met the most beautiful people in this country its so special here 
413,701,img/insta701,thankful for these kind hearted fools
414,702,img/insta702,k im completely trying to be real modelly type not working lol oh well pretty wonderfully hearted people shall do instead
415,703,img/insta703,honestly the absolute best way to end my year the best ever gentlemanbodyguard hope you all have a blessed new year
416,704,img/insta704,guess who came matching  😇  happy new year
417,705,img/insta705,morning philippians 314  💜 
418,706,img/insta706,we love dubai  beyond grateful for a great crew to ring in the new year
419,708,img/insta708,pashminas and candles under the stars
420,710,img/insta710,plane rides tho
421,711,img/insta711,sissy and i
422,712,img/insta712,so many generations 
423,713,img/insta713,texas bound with this chick 
424,715,img/insta715,ny fam time 
425,716,img/insta716,exciting things to come thanks to this hot mama  😍  🌟 
426,717,img/insta717,guess whos officially an interscope artist 
427,719,img/insta719,i mean its my bff birthday weekend so for doin me up  🌝 
428,722,img/insta722,road trip to the studio
429,724,img/insta724,she said yes and congratulations im geeking out because its my first actually best friend couple getting engaged ahhhhh 
430,728,img/insta728,le  🎶  🎶  🎶  🎶  🎶 
431,731,img/insta731,my favorite time of the year  🌝  have a great day everyone god bless
432,732,img/insta732,our bestest guy friend in the world is leaving us for a month  😊 
433,733,img/insta733,what the next 4 months will look like even in my hotel rooms you guys im beyond excited for whats next
434,734,img/insta734,last min hang out with my hillsong fam goodnight everybody god bless
435,736,img/insta736,espresso for the grandmas
436,739,img/insta739,werk momma 
437,740,img/insta740,spending a lil more time with my baby cousins before i leave i dont wanna go home  😔   💜 
438,741,img/insta741,also thankful for my la family  so blessed to have so many people i can love on and have by my side god bless everyone 1 corinthians 145
439,742,img/insta742,thankful for my forever crazy family 
440,743,img/insta743,my babies   🙏 
441,744,img/insta744,not a better way to end my night surrounded by so much love 
442,747,img/insta747,our ladies in charge so happy to have my ladies before my performance tomorrow 
443,750,img/insta750,sia bia 
444,753,img/insta753,rehearsing for the amas wasnt prepared for how nervous id be i mean ive done this before but now its just me all of me
445,754,img/insta754,daddy and daughter date  🙏 
446,755,img/insta755,be present  🌟 
447,756,img/insta756,speaking to 20000 students was inspiring  now you can watch the whole show on tune in on nov 11 at 8 et 5pt
448,757,img/insta757,hi cozy feat man in red truck
449,759,img/insta759,and i happy after unlikely heros event we donated now dont judge me but we are jamming the radio the whole way home just in case
450,760,img/insta760,this is me hearing my single heart on the radio for the first time i tried to catch it properly but yea  💜 
451,762,img/insta762,you can now get the heart wants what it wants and preorder my new collection for you right here  itunescomselenagomez
452,764,img/insta764,4 am and my girls woke me up to say congrats on finally releasing heart i love you  🙏 
453,765,img/insta765,i have been waiting so long to share this with all of youthe video for my new single the heart wants what it wants youtubecomselenagomezvevo
454,766,img/insta766,but i cant imagine a life without breathless moments breaking me down 
455,768,img/insta768,sissys in paris
456,769,img/insta769,good mornin psalm 305 
457,771,img/insta771,such a beautiful inspiring night at  💜  x gucci
458,772,img/insta772,what i did for halloween be safe everyone god bless
459,773,img/insta773,love my girls so so much 
460,776,img/insta776,behind the scenes
461,779,img/insta779,trigger street family exciting things to come  🌝 
462,780,img/insta780,i wish you love frank sinatra tonight
463,782,img/insta782,yea thats the stuff i care about
464,789,img/insta789,kind of beyond incrediblecoolrad that you started your own hashtag on being confident in yourself loving yourself first
465,790,img/insta790,goodbye vancouver hello los angeles
466,791,img/insta791,the truth my joy
467,793,img/insta793,unbelievable show
468,795,img/insta795,we day ready for maana x
469,799,img/insta799,uno mas
470,801,img/insta801,happy sunday n austin   💜 hillsong
471,804,img/insta804,chanel x tom ford
472,805,img/insta805,papas girl folks im home mark 21
473,807,img/insta807,this morning at the potters house unbelievable message had me in tears thank you bishop for reminding me why i should always keep going
474,808,img/insta808,and so it begins design meeting colossians 323
475,810,img/insta810,left ellen to only end up eating more thanks
476,811,img/insta811,ive only been for 20 min sums it up
477,812,img/insta812,this mornin gardening and my own iced coffee with a lot of cinnamon he
478,813,img/insta813, 👼  princess
479,815,img/insta815,team connor
480,819,img/insta819,slumber party x out takes x psalm 4610
481,820,img/insta820,papa has ears that truly listen sometimes arms that always hold and love thats never ending
482,823,img/insta823,thank you for such a beautiful evening 
483,824,img/insta824,ladies night in with alice in her wonderland 
484,825,img/insta825,thank you and fawaz gruosi for my purty jewelry 
485,829,img/insta829,one of the many many reasons yall inspire me i  💜 you
486,830,img/insta830,but i gave myself pigtails to feel better so theres that  😎 
487,831,img/insta831,woke up with a cold  😒  my day
488,832,img/insta832,tried my best  😋 
489,834,img/insta834,last night
490,836,img/insta836,what i love to end my day to
491,837,img/insta837,its starting
492,838,img/insta838,ny boundpeaceful trip  i smuggled my hot cheetos they were the kind with lime though
493,839,img/insta839,with my soul sister  tune in tanight
494,840,img/insta840,thank you jen for my pretty jennifer meyer s necklace
495,843,img/insta843,my sweet sweet sarah
496,844,img/insta844,valentino x saint laurent 
497,845,img/insta845,bill and variety here we come
498,847,img/insta847,jamming with bill and for rudderless cant wait x
499,848,img/insta848,weave is back  🌝  hehe
500,849,img/insta849, 💜  you never know
501,850,img/insta850,wait what are they about to do to me thought it was a treatment
502,852,img/insta852,such a goodie 
503,854,img/insta854,procrastination at its finest this is me reading all your lovelyhilarious tweets before bed
